p2,Intimidating,Straight Forward,Professional,Fast,Simplistic,Efficient,Overwhelming,,,,,,,,,,,,,,,,,
p4,Irrelevant,Stressful,Confusing,Unconventional,Time-consuming,Dull,Unrefined,Annoying,Unattractive,Poor quality,Ineffective,Inconsistent,Overwhelming,Difficult,Busy,Undesirable,Impersonal,,,,,,,
p6,Convenient,Relevant,Busy,Predictable,Time-consuming,Professional,Comfortable,Helpful,Consistent,Familiar,Satisfying,Organized,Clean,Fast,Useful,Approachable,Collaborative,Creative,Engaging,Simplistic,Reliable,Straight Forward,Easy to use,Effective
p8,Reliable,Useful,Effective,Helpful,Simplistic,Organized,Straight Forward,Flexible,Easy to use,,,,,,,,,,,,,,,
p10,Intimidating,Predictable,Reliable,Comprehensive,Time-consuming,Organized,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Participants counted:,,,,,,,,,,,,,,,,,,,,,,,,
2,4,6,8,10,,,,,,,,,,,,,,,,,,,,
Participants discarded:,,,,,,,,,,,,,,,,,,,,,,,,
